jhostname,ip,mac,sistema_operativo,ram_gb,departamento,rol
SRV-KLW-0001,192.168.43.247,7E:1D:3D:7B:80:37,Windows Server 2022,32,RRHH,Proxy
SRV-FAN-0002,192.168.204.225,D0:B5:8A:C0:B6:D7,Ubuntu 20.04 LTS,64,IT,Web Server
SRV-ZJU-0003,10.48.218.50,3E:92:D5:A3:6F:A9,Debian 11,4,Operaciones,DNS
SRV-CSG-0004,10.58.135.44,0C:A0:9C:7B:DF:5C,Red Hat 8,16,Dirección,Mail Server
SRV-CRD-0005,172.17.60.39,98:90:22:D9:1A:03,Ubuntu 20.04 LTS,8,IT,DB Server
SRV-ZLR-0006,10.92.24.65,A2:14:83:98:DC:76,Windows Server 2019,64,Dirección,Proxy
SRV-HOT-0007,10.46.82.11,9E:E1:DA:EE:3C:CF,Ubuntu 20.04 LTS,2,Operaciones,DNS
SRV-EXD-0008,192.168.97.156,AE:05:26:4F:BA:84,Ubuntu 22.04 LTS,4,IT,Proxy
SRV-TVM-0009,172.18.198.140,48:8F:16:54:0F:7E,Ubuntu 22.04 LTS,4,IT,Backup
SRV-NHV-0010,10.125.150.6,A8:29:46:EC:7C:C0,Ubuntu 20.04 LTS,2,Logística,DB Server
SRV-BQU-0011,192.168.8.175,E6:AF:80:23:9C:F4,Debian 11,2,Operaciones,Backup
SRV-JMV-0012,172.19.99.58,18:D0:A5:AA:07:86,Debian 11,2,IT,File Server
SRV-UPN-0013,192.168.214.230,0E:2A:DF:F3:81:E7,Ubuntu 20.04 LTS,2,Dirección,DB Server
SRV-AML-0014,172.16.199.58,00:3D:A9:EF:F8:6E,Ubuntu 22.04 LTS,2,Finanzas,Backup
SRV-PUK-0015,10.162.184.87,86:E8:3C:60:7E:41,Windows Server 2022,32,IT,Backup
SRV-FNR-0016,192.168.253.181,1C:4B:B3:EA:91:C6,Ubuntu 20.04 LTS,64,RRHH,Backup
SRV-JLP-0017,192.168.217.237,8C:F0:C2:36:2F:F0,Windows Server 2022,32,Dirección,Mail Server
SRV-MXO-0018,172.16.156.6,A8:B5:7C:38:E6:27,Red Hat 8,16,Logística,DB Server
SRV-UVQ-0019,192.168.254.135,C6:1E:20:B7:65:B8,CentOS 7,32,IT,DNS
SRV-MYE-0020,192.168.234.85,06:63:CE:C5:4F:05,Windows Server 2019,64,RRHH,File Server
SRV-UBE-0021,172.29.235.92,42:D1:EB:41:B3:FE,Ubuntu 20.04 LTS,8,IT,Mail Server
SRV-XRU-0022,172.18.165.171,6A:0F:CF:F8:54:1A,Windows Server 2022,64,IT,DNS
SRV-WQC-0023,192.168.133.57,C0:04:E9:0D:33:6B,Debian 11,32,Finanzas,DB Server
SRV-OUB-0024,192.168.109.64,CE:BA:C8:9A:BC:B6,CentOS 7,32,Dirección,Proxy
